Channel,Date,Start Time,Program Name,Nola Episode,Episode Name,Description
9.1,2025-03-18,15:00:00,Antiques Roadshow,#1908,Bismarck Hour 2,"Collectors discover that they can turn trash into treasure, thanks to the appraisal skills of the show's specialists in antiques and fine art."
9.1,2025-03-18,16:00:00,Lucy Worsley's Royal Myths & Secrets,#104,Henry VIII's Reformation,"Lucy Worsley dispels the myths behind some of the key moments in British royal history, and she uncovers how historical stories have been manipulated and mythologized for generations."
9.1,2025-03-18,17:00:00,BBC News America,,,"Live news program produced out of BBC's Washington, D.C. bureau; host Sumi Somaskanda."
9.1,2025-03-18,17:30:00,BBC News The Context,,,"A regular panel of guests from across the political spectrum discuss the biggest international stories of the day, along with news-making interviews and analysis from BBC correspondents around the globe."
9.1,2025-03-18,18:00:00,PBS News Hour,,,Co-anchors Amna Nawaz and Geoff Bennett and correspondents offer in-depth analysis of current events.
9.1,2025-03-18,19:00:00,"Finding Your Roots With Henry Louis Gates, Jr.",#1001,Born to Sing,"Educator Henry Louis Gates Jr. has hosted several PBS series that examine U.S. history. In ""Finding Your Roots,"" the Harvard professor continues his quest to ""get into the DNA of American culture."" In each episode, celebrities view ancestral histories, sometimes learn of connections to famous/infamous people, discover secrets, and share the emotional experience with viewers. Analyzing genetic code, DNA diagnosticians trace bloodlines and occasionally debunk long-held beliefs."
9.1,2025-03-18,20:00:00,Shaking It Up: The Life and Times of Liz Carpenter,,,"Journalist, author and feminist leader Liz Carpenter helped shape some of the most vivid moments and movements of the 20th century."
9.1,2025-03-18,21:00:00,American Experience,#3602,Fly With Me,"""American Experience"" combines dramatic re-enactments with commentary by historians and authors to present an absorbing look at the personalities, events and resources that have had a profound impact on the shaping of America's past and present. Many of the program's documentaries have received major honors in the broadcasting community, including Emmy, Peabodys and duPont-Columbia University awards."
9.1,2025-03-18,23:00:00,Amanpour and Company,,,Christiane Amanpour leads discussions about world issues and interviews with global leaders.
9.1,2025-03-19,00:00:00,American Experience,#3602,Fly With Me,"""American Experience"" combines dramatic re-enactments with commentary by historians and authors to present an absorbing look at the personalities, events and resources that have had a profound impact on the shaping of America's past and present. Many of the program's documentaries have received major honors in the broadcasting community, including Emmy, Peabodys and duPont-Columbia University awards."
9.1,2025-03-19,02:00:00,Antiques Roadshow,#2319,Vintage Houston 2019,"Collectors discover that they can turn trash into treasure, thanks to the appraisal skills of the show's specialists in antiques and fine art."
9.1,2025-03-19,03:00:00,Antiques Roadshow,,Living History Farms Hour 3,"Collectors discover that they can turn trash into treasure, thanks to the appraisal skills of the show's specialists in antiques and fine art."
9.1,2025-03-19,04:00:00,Antiques Roadshow,#1908,Bismarck Hour 2,"Collectors discover that they can turn trash into treasure, thanks to the appraisal skills of the show's specialists in antiques and fine art."
9.1,2025-03-19,05:00:00,Happy Yoga With Sarah Starr,#208,Ocean Sky,"Yoga can be challenging, especially for beginners who may be apprehensive about trying something that they think is too daunting. Wanting to help those who are new to the exercise, fitness instructor Sarah Starr created an easier routine. Happy Yoga, as she calls it, is a modified program using chairs that allows people of any age or physical condition to be able to benefit from yoga. ""Happy Yoga"" features Starr performing the chair exercises outside, utilizing serene backdrops that showcase Mother Nature's beauty."
9.1,2025-03-19,05:30:00,Classical Stretch: By Essentrics,#1204,Weight Loss and Calorie Burn,Miranda Esmonde-White offers an exercise program for people of all ages and fitness levels.
9.1,2025-03-19,06:00:00,Cyberchase,#608,A Perfect Score,"After being warped into Cyberspace from a library computer, Matt leads friends Jackie and Inez as Cybersquad. With live hosts Bianca and Harry, the team must protect Motherboard from the evil Hacker who wants to rule Cyberspace. Using gadgets and following clues, the team solves math mysteries and any other problem that comes their way."
9.1,2025-03-19,06:30:00,Wild Kratts,#131,Masked Bandits,"This show follows the adventures of animated versions of brothers Chris and Martin Kratt, hosts of such educational shows as ""Kratts' Creatures"" and ""Zoboomafoo."" In the show, the animated Kratts encounter wild animals during stories of adventure and mystery. The live-action Kratt brothers introduce each episode."
9.1,2025-03-19,07:00:00,Lyla in the Loop,#124,The Artist Formerly Known as Liana; Jamaica Day,Seven-year-old Lyla and her close-knit family address everyday problems together in the big city.
9.1,2025-03-19,07:30:00,Carl the Collector,#109,The Magic Trick Collection; Listen Coach,"The everyday adventures of Carl, an autistic raccoon, who loves collecting things."
9.1,2025-03-19,08:00:00,Daniel Tiger's Neighborhood,#203,Time for Daniel; There's Time for Daniel and Baby Too,"The first series inspired by ""Mister Rogers Neighborhood,"" ""Daniel Tiger's Neighborhood"" features 4-year-old Daniel Tiger, son of the original program's Daniel Striped Tiger. Every day Daniel puts on his red sweater, ties his shoes, and invites a new generation of preschoolers into the Neighborhood of Make-Believe. Daniel shares his daily adventures with pals O the Owl, Katerina Kittycat, Prince Wednesday and Miss Elaina. With the help of Daniel and his friends, preschoolers have fun and learn practical skills necessary for growing and developing."
9.1,2025-03-19,08:30:00,Rosie's Rules,#113,Fun House; Crystal's New Bunny,Five-year-old Mexican American Rosie Fuentes learns how the world around her works in her suburban Texas community.
9.1,2025-03-19,09:00:00,Sesame Street,,Jumpin' in the Rain,"A longtime favorite of children and adults, and a staple of PBS, ""Sesame Street"" bridges many cultural and educational gaps with a fun program. Big Bird leads a cast of characters teaching children numbers, colors and the alphabet. Bert and Ernie, Oscar the Grouch and Grover are just a few of the other creatures involved in this show, set on a city street full of valuable learning opportunities."
9.1,2025-03-19,09:30:00,Work It Out Wombats!,,Tricky Tricky Taiko Drum; Toy Swap Flop,A playful trio of marsupial siblings look for interesting problems to solve in their Treeborhood.
9.1,2025-03-19,10:00:00,Donkey Hodie,#204,Trolley Visits Someplace Else; Wish Upon a Fish,Donkey Hodie and her pals follow their dreams and work together to find creative solutions to everyday problems.
9.1,2025-03-19,10:30:00,Pinkalicious & Peterrific,#113,Indoor Camp-In; The Flutterbugs,"The creative adventures of Pinkalicious and her brother, Peter."
9.1,2025-03-19,11:00:00,Elinor Wonders Why,#206,Just Mist; Crayon Quest,The adventures of an observant and curious bunny rabbit named Elinor and her friends Ari the bat and Olive the elephant.
9.1,2025-03-19,11:30:00,Alma's Way,#118,Singing on the 6 Train; Safina's Doggy Problem,"Six-year old Alma, a Puerto Rican girl who lives with her family in the Bronx, learns to think for herself, making mistakes and finding solutions along the way."
9.1,2025-03-19,12:00:00,Molly of Denali,#308,Sticker Shock; A Song for Lola,"The daily adventures of 10-year-old Alaska native Molly Mabray, her family, her dog Suki and her friends Tooey and Trini."
9.1,2025-03-19,12:30:00,Xavier Riddle and the Secret Museum,#115,I Am Mary Leakey; I Am Alexander Hamilton,"Xavier Riddle, his sister, Yadina, and their friend, Brad, meet heroes from the past -- from Eleanor Roosevelt to Leonardo da Vinci."
9.1,2025-03-19,13:00:00,Sit and Be Fit,#1007,Vestibular System,Mary Ann Wilson leads safe workouts set to fun music.
9.1,2025-03-19,13:30:00,Classical Stretch: By Essentrics,#1204,Weight Loss and Calorie Burn,Miranda Esmonde-White offers an exercise program for people of all ages and fitness levels.
9.1,2025-03-19,14:00:00,"Finding Your Roots With Henry Louis Gates, Jr.",#1001,Born to Sing,"Educator Henry Louis Gates Jr. has hosted several PBS series that examine U.S. history. In ""Finding Your Roots,"" the Harvard professor continues his quest to ""get into the DNA of American culture."" In each episode, celebrities view ancestral histories, sometimes learn of connections to famous/infamous people, discover secrets, and share the emotional experience with viewers. Analyzing genetic code, DNA diagnosticians trace bloodlines and occasionally debunk long-held beliefs."
9.1,2025-03-19,15:00:00,From Rosemary to the R.K. Legacy,,,
9.1,2025-03-19,16:00:00,Shaking It Up: The Life and Times of Liz Carpenter,,,"Journalist, author and feminist leader Liz Carpenter helped shape some of the most vivid moments and movements of the 20th century."
9.1,2025-03-19,17:00:00,BBC News America,,,"Live news program produced out of BBC's Washington, D.C. bureau; host Sumi Somaskanda."
9.1,2025-03-19,17:30:00,BBC News The Context,,,"A regular panel of guests from across the political spectrum discuss the biggest international stories of the day, along with news-making interviews and analysis from BBC correspondents around the globe."
9.1,2025-03-19,18:00:00,PBS News Hour,,,Co-anchors Amna Nawaz and Geoff Bennett and correspondents offer in-depth analysis of current events.
9.1,2025-03-19,19:00:00,Nature,#4003,The Elephant and the Termite,"Consistently stunning documentaries transport viewers to far-flung locations ranging from the torrid African plains to the chilly splendors of icy Antarctica. The show's primary focus is on animals and ecosystems around the world. A comic book based on the show, meant to be used an as educational tool for kids, was briefly distributed to museums and schools at no cost in the mid-2000s."
9.1,2025-03-19,20:00:00,NOVA,#5103,Building the Eiffel Tower,"This long-running, award-winning documentary series focuses on science, its many applications, speculation, history and researchers. Inspired by the BBC documentary program ""Horizons, "" the U.S. series frequently features interviews with scientists directly involved in the topic at hand, and sometimes even boasts footage of a particular discovery."
9.1,2025-03-19,21:00:00,Secrets of the Dead,#2101,Eiffel's Race to the Top,Experts use modern forensic techniques to shed new light on historical mysteries such as the sinking of the Andrea Doria and the riddle of whether a weather or geological event of some kind might have triggered the Dark Ages.
9.1,2025-03-19,22:00:00,Made in Texas,,Stones are Speaking,
9.1,2025-03-19,23:00:00,Amanpour and Company,,,Christiane Amanpour leads discussions about world issues and interviews with global leaders.
9.1,2025-03-20,00:00:00,NOVA,#5103,Building the Eiffel Tower,"This long-running, award-winning documentary series focuses on science, its many applications, speculation, history and researchers. Inspired by the BBC documentary program ""Horizons, "" the U.S. series frequently features interviews with scientists directly involved in the topic at hand, and sometimes even boasts footage of a particular discovery."
9.1,2025-03-20,01:00:00,Weathered: Inside the LA Firestorm,,,"Experts and survivors talk about the events that led to the Los Angeles wildfires, and what can be done to save lives and homes in the future; host Maiya May."
9.1,2025-03-20,02:00:00,The Calling: A Medical School Journey,,,"Medical students at the Albert Einstein College of Medicine in the Bronx, N.Y., face challenges on the long road to becoming a doctor."
9.1,2025-03-20,03:30:00,In Julia's Kitchen With Master Chefs,#117,Reed Hearon,"Cooking icon Julia Child invites 26 nationally recognized chefs into her kitchen, where she prepares dishes with the pros and breaks down their techniques and recipes for the home cook. Top names in the culinary world, such as Rick Bayless, Jasper White and Charlie Trotter, share their tips for dishes like chile-glazed country ribs, pan-roasted lobster and warm peach soup."
9.1,2025-03-20,04:00:00,"Finding Your Roots With Henry Louis Gates, Jr.",#1001,Born to Sing,"Educator Henry Louis Gates Jr. has hosted several PBS series that examine U.S. history. In ""Finding Your Roots,"" the Harvard professor continues his quest to ""get into the DNA of American culture."" In each episode, celebrities view ancestral histories, sometimes learn of connections to famous/infamous people, discover secrets, and share the emotional experience with viewers. Analyzing genetic code, DNA diagnosticians trace bloodlines and occasionally debunk long-held beliefs."
9.1,2025-03-20,05:00:00,Happy Yoga With Sarah Starr,#209,Autumn Glory,"Yoga can be challenging, especially for beginners who may be apprehensive about trying something that they think is too daunting. Wanting to help those who are new to the exercise, fitness instructor Sarah Starr created an easier routine. Happy Yoga, as she calls it, is a modified program using chairs that allows people of any age or physical condition to be able to benefit from yoga. ""Happy Yoga"" features Starr performing the chair exercises outside, utilizing serene backdrops that showcase Mother Nature's beauty."
9.1,2025-03-20,05:30:00,Classical Stretch: By Essentrics,#1205,Back Pain Relief,Miranda Esmonde-White offers an exercise program for people of all ages and fitness levels.
9.1,2025-03-20,06:00:00,Cyberchase,#1402,"Trees, Please","After being warped into Cyberspace from a library computer, Matt leads friends Jackie and Inez as Cybersquad. With live hosts Bianca and Harry, the team must protect Motherboard from the evil Hacker who wants to rule Cyberspace. Using gadgets and following clues, the team solves math mysteries and any other problem that comes their way."
9.1,2025-03-20,06:30:00,Wild Kratts,#139,Googly Eye: The Night Guru,"This show follows the adventures of animated versions of brothers Chris and Martin Kratt, hosts of such educational shows as ""Kratts' Creatures"" and ""Zoboomafoo."" In the show, the animated Kratts encounter wild animals during stories of adventure and mystery. The live-action Kratt brothers introduce each episode."
9.1,2025-03-20,07:00:00,Lyla in the Loop,#110,How to Hamster; A Bad Case of the Beeps,Seven-year-old Lyla and her close-knit family address everyday problems together in the big city.
9.1,2025-03-20,07:30:00,Carl the Collector,#113,The Fall; The Word Collection,"The everyday adventures of Carl, an autistic raccoon, who loves collecting things."
9.1,2025-03-20,08:00:00,Daniel Tiger's Neighborhood,#305,The Neighborhood Fall Festival; Field Day at School,"The first series inspired by ""Mister Rogers Neighborhood,"" ""Daniel Tiger's Neighborhood"" features 4-year-old Daniel Tiger, son of the original program's Daniel Striped Tiger. Every day Daniel puts on his red sweater, ties his shoes, and invites a new generation of preschoolers into the Neighborhood of Make-Believe. Daniel shares his daily adventures with pals O the Owl, Katerina Kittycat, Prince Wednesday and Miss Elaina. With the help of Daniel and his friends, preschoolers have fun and learn practical skills necessary for growing and developing."
9.1,2025-03-20,08:30:00,Rosie's Rules,#119,An Anniversary Tradition; Chiles en Nogada Day,Five-year-old Mexican American Rosie Fuentes learns how the world around her works in her suburban Texas community.
9.1,2025-03-20,09:00:00,Sesame Street,#5422,The Feelings Fair,"A longtime favorite of children and adults, and a staple of PBS, ""Sesame Street"" bridges many cultural and educational gaps with a fun program. Big Bird leads a cast of characters teaching children numbers, colors and the alphabet. Bert and Ernie, Oscar the Grouch and Grover are just a few of the other creatures involved in this show, set on a city street full of valuable learning opportunities."
9.1,2025-03-20,09:30:00,Work It Out Wombats!,#134,Cause and Effect Machine; Riddles of the Treeborhood,A playful trio of marsupial siblings look for interesting problems to solve in their Treeborhood.
9.1,2025-03-20,10:00:00,Donkey Hodie,#137,Gator's New Game; Donkey and Panda Cheer Up,Donkey Hodie and her pals follow their dreams and work together to find creative solutions to everyday problems.
9.1,2025-03-20,10:30:00,Pinkalicious & Peterrific,#308,The Secret Life of Henrietta; Photographer Peter,"The creative adventures of Pinkalicious and her brother, Peter."
9.1,2025-03-20,11:00:00,Elinor Wonders Why,#120,Butterfly Babies; Elinor's Circus,The adventures of an observant and curious bunny rabbit named Elinor and her friends Ari the bat and Olive the elephant.
9.1,2025-03-20,11:30:00,Alma's Way,#126,Almas Cat-tastrophe; Stickball,"Six-year old Alma, a Puerto Rican girl who lives with her family in the Bronx, learns to think for herself, making mistakes and finding solutions along the way."
9.1,2025-03-20,12:00:00,Molly of Denali,#107,Eagle Egg Hunt; Dream Tube,"The daily adventures of 10-year-old Alaska native Molly Mabray, her family, her dog Suki and her friends Tooey and Trini."
9.1,2025-03-20,12:30:00,Xavier Riddle and the Secret Museum,#217,I Am Bruce Lee; I Am Sonia Manzano,"Xavier Riddle, his sister, Yadina, and their friend, Brad, meet heroes from the past -- from Eleanor Roosevelt to Leonardo da Vinci."
9.1,2025-03-20,13:00:00,Sit and Be Fit,#1008,Circulation,Mary Ann Wilson leads safe workouts set to fun music.
9.1,2025-03-20,13:30:00,Classical Stretch: By Essentrics,#1205,Back Pain Relief,Miranda Esmonde-White offers an exercise program for people of all ages and fitness levels.
9.1,2025-03-20,14:00:00,Nature,#4003,The Elephant and the Termite,"Consistently stunning documentaries transport viewers to far-flung locations ranging from the torrid African plains to the chilly splendors of icy Antarctica. The show's primary focus is on animals and ecosystems around the world. A comic book based on the show, meant to be used an as educational tool for kids, was briefly distributed to museums and schools at no cost in the mid-2000s."
9.1,2025-03-20,15:00:00,Ireland's Wild Coast,#101,,"Emmy Award-winning wildlife cameraman Colin Stafford-Johnson explores the wild animals and wild places of Ireland's rugged Atlantic coast. From the southwest corner of the island to the tip of Northern Ireland, Stafford-Johnson provides his own personal insights into the place he calls home and its wild animals, including humpback whales, eagles, salmon and red deer stags. Crossing the Line Productions produces the series."
9.1,2025-03-20,16:00:00,Ireland's Wild Coast,#102,,"Emmy Award-winning wildlife cameraman Colin Stafford-Johnson explores the wild animals and wild places of Ireland's rugged Atlantic coast. From the southwest corner of the island to the tip of Northern Ireland, Stafford-Johnson provides his own personal insights into the place he calls home and its wild animals, including humpback whales, eagles, salmon and red deer stags. Crossing the Line Productions produces the series."
9.1,2025-03-20,17:00:00,BBC News America,,,"Live news program produced out of BBC's Washington, D.C. bureau; host Sumi Somaskanda."
9.1,2025-03-20,17:30:00,BBC News The Context,,,"A regular panel of guests from across the political spectrum discuss the biggest international stories of the day, along with news-making interviews and analysis from BBC correspondents around the globe."
9.1,2025-03-20,18:00:00,PBS News Hour,,,Co-anchors Amna Nawaz and Geoff Bennett and correspondents offer in-depth analysis of current events.
9.1,2025-03-20,19:00:00,On the Record,,,"Interviews with key players in San Antonio politics, business, and community activism. Each week also includes a roundtable discussion with local journalists who keep a pulse on important issues impacting the city."
9.1,2025-03-20,19:30:00,The San Antonio Files,,,
9.1,2025-03-20,20:00:00,Sister Boniface Mysteries,#103,Love and Other Puzzles,Sister Boniface of Saint Vincent's Convent helps solves crimes in the village of Great Slaughter.
9.1,2025-03-20,21:00:00,Father Brown,#194,The Children of Kalon,Based on the novels of G.K. Chesterton.
